"NDB_No"|"FdGrp_Cd"|"Long_Desc"|"Shrt_Desc"|"ComName"|"ManufacName"
"01001"|"0100"|"Butter, salted"|"BUTTER,WITH SALT"||
"01002"|"0100"|"Butter, whipped, with salt"|"BUTTER,WHIPPED,WITH SALT"||
"01003"|"0100"|"Butter oil, anhydrous"|"BUTTER OIL,ANHYDROUS"||
"01004"|"0100"|"Cheese, blue"|"CHEESE,BLUE"||
"01005"|"0100"|"Cheese, brick"|"CHEESE,BRICK"||
"01006"|"0100"|"Cheese, brie"|"CHEESE,BRIE"||
"01007"|"0100"|"Cheese, camembert"|"CHEESE,CAMEMBERT"||
"01008"|"0100"|"Cheese, caraway"|"CHEESE,CARAWAY"||
"01009"|"0100"|"Cheese, cheddar"|"CHEESE,CHEDDAR"||
"01010"|"0100"|"Cheese, cheshire"|"CHEESE,CHESHIRE"||
"01011"|"0100"|"Cheese, colby"|"CHEESE,COLBY"||
"01012"|"0100"|"Cheese, cottage, creamed, large or small curd"|"CHEESE,COTTAGE,CRMD,LRG OR SML CURD"||
"01013"|"0100"|"Cheese, cottage, creamed, with fruit"|"CHEESE,COTTAGE,CRMD,W/FRUIT"||
"01014"|"0100"|"Cheese, cottage, nonfat, uncreamed, dry, large or small curd"|"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD"||
"01015"|"0100"|"Cheese, cottage, lowfat, 2% milkfat"|"CHEESE,COTTAGE,LOWFAT,2% MILKFAT"||
"01016"|"0100"|"Cheese, cottage, lowfat, 1% milkfat"|"CHEESE,COTTAGE,LOWFAT,1% MILKFAT"||
"01017"|"0100"|"Cheese, cream"|"CHEESE,CREAM"||
"01018"|"0100"|"Cheese, edam"|"CHEESE,EDAM"||
"01019"|"0100"|"Cheese, feta"|"CHEESE,FETA"||
"01020"|"0100"|"Cheese, fontina"|"CHEESE,FONTINA"||
"01021"|"0100"|"Cheese, gjetost"|"CHEESE,GJETOST"||
"01022"|"0100"|"Cheese, gouda"|"CHEESE,GOUDA"||
"01023"|"0100"|"Cheese, gruyere"|"CHEESE,GRUYERE"||
"01024"|"0100"|"Cheese, limburger"|"CHEESE,LIMBURGER"||
"01025"|"0100"|"Cheese, monterey"|"CHEESE,MONTEREY"||
"01026"|"0100"|"Cheese, mozzarella, whole milk"|"CHEESE,MOZZARELLA,WHL MILK"||
"01027"|"0100"|"Cheese, mozzarella, whole milk, low moisture"|"CHEESE,MOZZARELLA,WHL MILK,LO MOIST"||
"01028"|"0100"|"Cheese, mozzarella, part skim milk"|"CHEESE,MOZZARELLA,PART SKIM MILK"||
"01029"|"0100"|"Cheese, mozzarella, part skim milk, low moisture"|"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST"||
"01030"|"0100"|"Cheese, muenster"|"CHEESE,MUENSTER"||
"01031"|"0100"|"Cheese, neufchatel"|"CHEESE,NEUFCHATEL"||
"01032"|"0100"|"Cheese, parmesan, grated"|"CHEESE,PARMESAN,GRATED"||
"01033"|"0100"|"Cheese, parmesan, hard"|"CHEESE,PARMESAN,HARD"||
"01034"|"0100"|"Cheese, port de salut"|"CHEESE,PORT DE SALUT"||
"01035"|"0100"|"Cheese, provolone"|"CHEESE,PROVOLONE"||
