"Nutr_No"|"Units"|"Tagname"|"NutrDesc"|"Num_Dec"|"SR_Order"
"203"|"g"|"PROCNT"|"Protein"|"2"|600.00
"204"|"g"|"FAT"|"Total lipid (fat)"|"2"|800.00
"205"|"g"|"CHOCDF"|"Carbohydrate, by difference"|"2"|1100.00
"207"|"g"|"ASH"|"Ash"|"2"|1000.00
"208"|"kcal"|"ENERC_KCAL"|"Energy"|"0"|300.00
"209"|"g"|"STARCH"|"Starch"|"2"|2200.00
"210"|"g"|"SUCS"|"Sucrose"|"2"|1600.00
"211"|"g"|"GLUS"|"Glucose (dextrose)"|"2"|1700.00
"212"|"g"|"FRUS"|"Fructose"|"2"|1800.00
"213"|"g"|"LACS"|"Lactose"|"2"|1900.00
"214"|"g"|"MALS"|"Maltose"|"2"|2000.00
"221"|"g"|"ALC"|"Alcohol, ethyl"|"1"|18200.00
"255"|"g"|"WATER"|"Water"|"2"|100.00
"257"|"g"||"Adjusted Protein"|"2"|700.00
"262"|"mg"|"CAFFN"|"Caffeine"|"0"|18300.00
"263"|"mg"|"THEBRN"|"Theobromine"|"0"|18400.00
"268"|"kJ"|"ENERC_KJ"|"Energy"|"0"|400.00
"269"|"g"|"SUGAR"|"Sugars, total"|"2"|1500.00
"287"|"g"|"GALS"|"Galactose"|"2"|2100.00
"291"|"g"|"FIBTG"|"Fiber, total dietary"|"1"|1200.00
"301"|"mg"|"CA"|"Calcium, Ca"|"0"|5300.00
"303"|"mg"|"FE"|"Iron, Fe"|"2"|5400.00
"304"|"mg"|"MG"|"Magnesium, Mg"|"0"|5500.00
"305"|"mg"|"P"|"Phosphorus, P"|"0"|5600.00
"306"|"mg"|"K"|"Potassium, K"|"0"|5700.00
"307"|"mg"|"NA"|"Sodium, Na"|"0"|5800.00
"309"|"mg"|"ZN"|"Zinc, Zn"|"2"|5900.00
"312"|"mg"|"CU"|"Copper, Cu"|"3"|6000.00
"313"|"mcg"|"FLD"|"Fluoride, F"|"1"|6240.00
"315"|"mg"|"MN"|"Manganese, Mn"|"3"|6100.00
"317"|"mcg"|"SE"|"Selenium, Se"|"1"|6200.00
"318"|"IU"|"VITA_IU"|"Vitamin A, IU"|"0"|7500.00
"319"|"mcg"|"RETOL"|"Retinol"|"0"|7430.00
"320"|"mcg_RAE"|"VITA_RAE"|"Vitamin A, RAE"|"0"|7420.00
"321"|"mcg"|"CARTB"|"Carotene, beta"|"0"|7440.00
"322"|"mcg"|"CARTA"|"Carotene, alpha"|"0"|7450.00
"323"|"mg"|"TOCPHA"|"Vitamin E (alpha-tocopherol)"|"2"|7900.00
"324"|"IU"|"VITD"|"Vitamin D"|"0"|8750.00
"325"|"mcg"|"ERGCAL"|"Vitamin D2 (ergocalciferol)"|"1"|8710.00
"326"|"mcg"|"CHOCAL"|"Vitamin D3 (cholecalciferol)"|"1"|8720.00
"328"|"mcg"|"VITD"|"Vitamin D (D2 + D3)"|"1"|8700.00
"334"|"mcg"|"CRYPX"|"Cryptoxanthin, beta"|"0"|7460.00
"337"|"mcg"|"LYCPN"|"Lycopene"|"0"|7530.00
"338"|"mcg"|"LUT+ZEA"|"Lutein + zeaxanthin"|"0"|7560.00
"341"|"mg"|"TOCPHB"|"Tocopherol, beta"|"2"|8000.00
"342"|"mg"|"TOCPHG"|"Tocopherol, gamma"|"2"|8100.00
"343"|"mg"|"TOCPHD"|"Tocopherol, delta"|"2"|8200.00
"401"|"mg"|"VITC"|"Vitamin C, total ascorbic acid"|"1"|6300.00
"404"|"mg"|"THIA"|"Thiamin"|"3"|6400.00
"405"|"mg"|"RIBF"|"Riboflavin"|"3"|6500.00
"406"|"mg"|"NIA"|"Niacin"|"3"|6600.00
"410"|"mg"|"PANTAC"|"Pantothenic acid"|"3"|6700.00
"415"|"mg"|"VITB6A"|"Vitamin B-6"|"3"|6800.00
"417"|"mcg"|"FOL"|"Folate, total"|"0"|6900.00
"418"|"mcg"|"VITB12"|"Vitamin B-12"|"2"|7300.00
"421"|"mg"|"CHOLN"|"Choline, total"|"1"|7220.00
"430"|"mcg"|"VITK"|"Vitamin K (phylloquinone)"|"1"|8800.00
"431"|"mcg"|"FOLAC"|"Folic acid"|"0"|7000.00
"432"|"mcg"|"FOLFD"|"Folate, food"|"0"|7100.00
"435"|"mcg_DFE"|"FOLDFE"|"Folate, DFE"|"0"|7200.00
"454"|"mg"|"BETN"|"Betaine"|"1"|7270.00
"501"|"g"|"TRP_G"|"Tryptophan"|"3"|16300.00
