"NDB_No"|"Seq"|"Amount"|"Msre_Desc"|"Gm_Wgt"|"Num_Data_Pts"|"Std_Dev"
"01001"|"1"|1.00|"cup"|227.00||
"01001"|"2"|1.00|"tbsp"|14.20||
"01001"|"3"|1.00|"pat (1"" sq, 1/3"" high)"|5.00||
"01001"|"4"|1.00|"stick"|113.00||
"01002"|"1"|1.00|"cup"|151.00||
"01002"|"2"|1.00|"tbsp"|9.40||
"01002"|"3"|1.00|"pat (1"" sq, 1/3"" high)"|3.80||
"01002"|"4"|1.00|"stick"|76.00||
"01003"|"1"|1.00|"cup"|205.00||
"01003"|"2"|1.00|"tbsp"|12.80||
"01004"|"1"|1.00|"oz"|28.35||
"01004"|"2"|1.00|"cubic inch"|17.00||
"01004"|"3"|1.00|"cup, crumbled, not packed"|135.00||
"01005"|"1"|1.00|"cup, diced"|132.00||
"01005"|"2"|1.00|"cup, shredded"|113.00||
"01005"|"3"|1.00|"oz"|28.35||
"01005"|"4"|1.00|"cubic inch"|17.00||
"01005"|"5"|1.00|"slice (1 oz)"|28.00||
"01006"|"1"|1.00|"cup, melted"|240.00||
"01006"|"2"|1.00|"cup, sliced"|144.00||
"01006"|"3"|1.00|"oz"|28.35||
"01006"|"4"|1.00|"cubic inch"|17.00||
"01006"|"5"|1.00|"package (4.5 oz)"|128.00||
"01007"|"1"|1.00|"cup"|246.00||
"01007"|"2"|1.00|"oz"|28.35||
"01007"|"3"|1.00|"cubic inch"|17.00||
"01007"|"4"|1.00|"wedge (1.33 oz)"|38.00||
"01008"|"1"|1.00|"oz"|28.35||
"01009"|"1"|1.00|"cup, diced"|132.00||
"01009"|"2"|1.00|"cup, melted"|244.00||
"01009"|"3"|1.00|"cup, shredded"|113.00||
"01009"|"4"|1.00|"oz"|28.35||
"01009"|"5"|1.00|"cubic inch"|17.00||
"01009"|"6"|1.00|"slice (1 oz)"|28.00||
"01010"|"1"|1.00|"oz"|28.35||
"01011"|"1"|1.00|"cup, diced"|132.00||
"01011"|"2"|1.00|"cup, shredded"|113.00||
"01011"|"3"|1.00|"oz"|28.35||
"01011"|"4"|1.00|"cubic inch"|17.00||
"01011"|"5"|1.00|"slice (1 oz)"|28.00||
"01012"|"1"|4.00|"oz"|113.00||
"01012"|"2"|1.00|"cup, large curd (not packed)"|210.00||
"01012"|"3"|1.00|"cup, small curd (not packed)"|225.00||
"01013"|"1"|1.00|"cup (not packed)"|226.00||
"01013"|"2"|4.00|"oz"|113.00||
"01014"|"1"|1.00|"cup (not packed)"|145.00||
"01014"|"2"|4.00|"oz"|113.00||
"01015"|"1"|1.00|"cup (not packed)"|226.00||
"01015"|"2"|4.00|"oz"|113.00||
"01016"|"1"|1.00|"cup (not packed)"|226.00||
"01016"|"2"|4.00|"oz"|113.00||
"01017"|"1"|1.00|"cup"|232.00||
"01017"|"2"|1.00|"tbsp"|14.50||
"01017"|"3"|1.00|"tbsp, whipped"|10.00||
"01017"|"4"|1.00|"oz"|28.35||
"01017"|"5"|1.00|"cubic inch"|16.00||
"01017"|"6"|1.00|"package, small (3 oz)"|85.00||
"01018"|"1"|1.00|"oz"|28.35||
"01018"|"2"|1.00|"package (7 oz)"|198.00||
"01019"|"1"|1.00|"cup, crumbled"|150.00||
"01019"|"2"|1.00|"oz"|28.35||
"01019"|"3"|1.00|"cubic inch"|17.00||
"01019"|"4"|1.00|"wedge (1.33 oz)"|38.00||
"01020"|"1"|1.00|"cup, diced"|132.00||
"01020"|"2"|1.00|"cup, shredded"|108.00||
"01020"|"3"|1.00|"oz"|28.35||
"01020"|"4"|1.00|"cubic inch"|15.00||
"01020"|"5"|1.00|"slice (1 oz)"|28.00||
"01020"|"6"|1.00|"package (8 oz)"|227.00||
"01021"|"1"|1.00|"oz"|28.35||
"01021"|"2"|1.00|"package (8 oz)"|227.00||
"01022"|"1"|1.00|"oz"|28.35||
"01022"|"2"|1.00|"package (7 oz)"|198.00||
"01023"|"1"|1.00|"cup, diced"|132.00||
"01023"|"2"|1.00|"cup, shredded"|108.00||
"01023"|"3"|1.00|"oz"|28.35||
"01023"|"4"|1.00|"cubic inch"|15.00||
"01023"|"5"|1.00|"slice (1 oz)"|28.00||
"01023"|"6"|1.00|"package (6 oz)"|170.00||
"01024"|"1"|1.00|"cup"|134.00||
"01024"|"2"|1.00|"oz"|28.35||
"01024"|"3"|1.00|"cubic inch"|18.00||
"01024"|"4"|1.00|"box"|113.00||
"01024"|"5"|1.00|"package (8 oz)"|227.00||
"01025"|"1"|1.00|"cup, diced"|132.00||
"01025"|"2"|1.00|"cup, shredded"|113.00||
"01025"|"3"|1.00|"oz"|28.35||
"01025"|"4"|1.00|"cubic inch"|17.00||
"01025"|"5"|1.00|"slice (1 oz)"|28.00||
"01025"|"6"|1.00|"package (6 oz)"|170.00||
"01026"|"1"|1.00|"cup, shredded"|112.00||
"01026"|"2"|1.00|"oz"|28.35||
"01026"|"3"|6.00|"slices"|170.00||
"01027"|"1"|1.00|"oz"|28.35||
"01027"|"2"|1.00|"cubic inch"|18.00||
"01028"|"1"|1.00|"oz"|28.35||
"01029"|"1"|1.00|"cup, diced"|132.00||
"01029"|"2"|1.00|"cup, shredded"|113.00||
"01029"|"3"|1.00|"oz"|28.35||
"01029"|"4"|1.00|"cubic inch"|18.00||
"01029"|"5"|1.00|"slice (1 oz)"|28.00||
"01030"|"1"|1.00|"cup, diced"|132.00||
"01030"|"2"|1.00|"cup, shredded"|113.00||
"01030"|"3"|1.00|"oz"|28.35||
"01030"|"4"|1.00|"cubic inch"|18.00||
"01030"|"5"|1.00|"slice (1 oz)"|28.00||
"01030"|"6"|1.00|"package (6 oz)"|170.00||
"01031"|"1"|1.00|"oz"|28.35||
"01031"|"2"|1.00|"package (3 oz)"|85.00||
"01032"|"1"|1.00|"cup"|100.00||
"01032"|"2"|1.00|"tbsp"|5.00||
"01032"|"3"|1.00|"oz"|28.35||
"01033"|"1"|1.00|"oz"|28.35||
"01033"|"2"|1.00|"cubic inch"|10.30||
"01033"|"3"|5.00|"package (5 oz)"|142.00||
"01034"|"1"|1.00|"cup, diced"|132.00||
"01034"|"2"|1.00|"cup, shredded"|113.00||
"01034"|"3"|1.00|"oz"|28.35||
"01034"|"4"|1.00|"cubic inch"|17.00||
"01034"|"5"|1.00|"slice (1 oz)"|28.00||
"01034"|"6"|1.00|"package (6 oz)"|170.00||
"01035"|"1"|1.00|"cup, diced"|132.00||
"01035"|"2"|1.00|"oz"|28.35||
"01035"|"3"|1.00|"cubic inch"|17.00||
"01035"|"4"|1.00|"slice (1 oz)"|28.00||
"01035"|"5"|1.00|"package (6 oz)"|170.00||
"01036"|"1"|1.00|"cup"|246.00||
"01036"|"2"|0.50|"cup"|124.00||
"01037"|"1"|1.00|"cup"|246.00||
"01037"|"2"|1.00|"oz"|28.35||
"01037"|"3"|0.50|"cup"|124.00||
"01038"|"1"|1.00|"oz"|28.35||
"01038"|"2"|5.00|"package (5 oz)"|142.00||
"01039"|"1"|1.00|"oz"|28.35||
"01039"|"2"|1.00|"package (3 oz)"|85.00||
"01040"|"1"|1.00|"cup, diced"|132.00||
"01040"|"2"|1.00|"cup, melted"|244.00||
"01040"|"3"|1.00|"cup, shredded"|108.00||
"01040"|"4"|1.00|"oz"|28.35||
"01040"|"5"|1.00|"cubic inch"|15.00||
"01040"|"6"|1.00|"slice (1 oz)"|28.00||
"01041"|"1"|1.00|"oz"|28.35||
"01041"|"2"|1.00|"package (6 oz)"|170.00||
"01042"|"1"|1.00|"cup, diced"|140.00||
"01042"|"2"|1.00|"cup, melted"|244.00||
"01042"|"3"|1.00|"cup, shredded"|113.00||
"01042"|"4"|1.00|"oz"|28.35||
"01042"|"5"|1.00|"cubic inch"|18.00||
"01042"|"6"|1.00|"slice (3/4 oz)"|21.00||
"01042"|"7"|1.00|"slice (1 oz)"|28.00||
"01043"|"1"|1.00|"cup, diced"|140.00||
"01043"|"2"|1.00|"cup, melted"|244.00||
"01043"|"3"|1.00|"cup, shredded"|113.00||
"01043"|"4"|1.00|"oz"|28.35||
"01043"|"5"|1.00|"cubic inch"|18.00||
"01043"|"6"|1.00|"slice (3/4 oz)"|21.00||
"01044"|"1"|1.00|"cup, diced"|140.00||
"01044"|"2"|1.00|"cup, shredded"|113.00||
"01044"|"3"|1.00|"oz"|28.35||
"01044"|"4"|1.00|"cubic inch"|18.00||
"01044"|"5"|1.00|"slice (3/4 oz)"|21.00||
"01045"|"1"|1.00|"oz"|28.35||
"01045"|"2"|1.00|"package (8 oz)"|227.00||
"01046"|"1"|1.00|"cup"|113.00||
"01046"|"2"|1.00|"oz"|28.35||
"01046"|"3"|1.00|"slice (3/4 oz)"|21.00||
"01046"|"4"|1.00|"package (8 oz)"|227.00||
"01047"|"1"|1.00|"oz"|28.35||
"01047"|"2"|1.00|"package (8 oz)"|227.00||
"01048"|"1"|1.00|"cup, diced"|140.00||
"01048"|"2"|1.00|"cup"|244.00||
"01048"|"3"|1.00|"oz"|28.35||
"01048"|"4"|1.00|"cubic inch"|18.00||
"01048"|"5"|1.00|"jar (5 oz)"|142.00||
"01048"|"6"|1.00|"slice"|34.00||
"01048"|"7"|1.00|"slice, thin"|14.00||
"01049"|"1"|1.00|"cup"|242.00||
"01049"|"2"|1.00|"tbsp"|15.00||
"01049"|"3"|1.00|"fl oz"|30.20||
"01049"|"4"|1.00|"container, individual (.5 fl oz)"|15.00||
"01050"|"1"|1.00|"cup"|240.00||
"01050"|"2"|1.00|"tbsp"|15.00||
"01050"|"3"|1.00|"fl oz"|30.00||
"01050"|"4"|1.00|"container, individual"|11.10||
"01052"|"1"|1.00|"cup, whipped"|120.00||
"01052"|"2"|1.00|"cup, fluid (yields 2 cups whipped)"|239.00||
"01052"|"3"|1.00|"tbsp"|15.00||
"01053"|"1"|1.00|"cup, whipped"|120.00||
"01053"|"2"|1.00|"cup, fluid (yields 2 cups whipped)"|238.00||
"01053"|"3"|1.00|"tbsp"|15.00||
"01053"|"4"|1.00|"fl oz"|29.80||
"01054"|"1"|1.00|"cup"|60.00||
"01054"|"2"|1.00|"tbsp"|3.00||
"01055"|"1"|1.00|"cup"|242.00||
"01055"|"2"|1.00|"tbsp"|15.00||
"01056"|"1"|1.00|"cup"|230.00||
"01056"|"2"|1.00|"tbsp"|12.00||
"01057"|"1"|1.00|"cup"|254.00||
"01057"|"2"|1.00|"fl oz"|31.80||
"01057"|"3"|1.00|"quart"|1016.00||
"01058"|"1"|1.00|"cup"|235.00||
"01058"|"2"|1.00|"tbsp"|12.00||
"01059"|"1"|1.00|"cup"|244.00||
"01059"|"2"|1.00|"quart"|976.00||
"01060"|"1"|1.00|"cup"|244.00||
"01060"|"2"|1.00|"fl oz"|30.50||
"01060"|"3"|1.00|"quart"|976.00||
"01067"|"1"|1.00|"cup"|240.00||
"01067"|"2"|1.00|"fl oz"|30.00||
"01067"|"3"|1.00|"container, individual"|15.00||
"01067"|"4"|0.50|"cup"|120.00||
"01068"|"1"|1.00|"container, individual"|15.00||
"01068"|"2"|0.50|"cup"|120.00||
"01069"|"1"|1.00|"cup"|94.00||
"01069"|"2"|1.00|"tsp"|2.00||
"01069"|"3"|1.00|"packet"|3.00||
"01070"|"1"|1.50|"oz"|43.00||
"01070"|"2"|1.00|"portion, amount to make 1 tbsp"|1.30||
"01071"|"1"|1.00|"cup"|80.00||
"01071"|"2"|1.00|"tbsp"|4.00||
"01071"|"3"|1.00|"package yields"|160.00||
"01072"|"1"|1.00|"cup"|70.00||
"01072"|"2"|1.00|"tbsp"|4.00||
"01073"|"1"|1.00|"cup"|75.00||
"01073"|"2"|1.00|"tbsp"|4.00||
"01074"|"1"|1.00|"cup"|230.00||
"01074"|"2"|1.00|"oz"|28.35||
"01076"|"1"|1.00|"cup"|244.00||
"01076"|"2"|1.00|"quart"|976.00||
"01077"|"1"|1.00|"cup"|244.00||
"01077"|"2"|1.00|"tbsp"|15.00||
"01077"|"3"|1.00|"fl oz"|30.50||
"01077"|"4"|1.00|"quart"|976.00||
"01078"|"1"|1.00|"cup"|244.00||
"01078"|"2"|1.00|"quart"|976.00||
"01079"|"1"|1.00|"cup"|244.00||
"01079"|"2"|1.00|"fl oz"|30.50||
"01079"|"3"|1.00|"quart"|976.00||
"01080"|"1"|1.00|"cup"|245.00||
"01080"|"2"|1.00|"quart"|980.00||
"01081"|"1"|1.00|"cup"|246.00||
"01081"|"2"|1.00|"quart"|984.00||
"01082"|"1"|1.00|"cup"|244.00||
"01082"|"2"|1.00|"fl oz"|30.50||
"01082"|"3"|1.00|"quart"|976.00||
"01083"|"1"|1.00|"cup"|245.00||
"01083"|"2"|1.00|"quart"|980.00||
"01084"|"1"|1.00|"cup"|246.00||
"01084"|"2"|1.00|"quart"|984.00||
"01085"|"1"|1.00|"cup"|245.00||
"01085"|"2"|1.00|"fl oz"|30.60||
"01085"|"3"|1.00|"quart"|980.00||
"01086"|"1"|1.00|"cup"|245.00||
"01086"|"2"|1.00|"fl oz"|30.60||
"01086"|"3"|1.00|"quart"|980.00||
"01087"|"1"|1.00|"cup"|246.00||
"01087"|"2"|1.00|"quart"|984.00||
"01088"|"1"|1.00|"cup"|245.00||
"01088"|"2"|1.00|"fl oz"|30.60||
"01088"|"3"|1.00|"quart"|980.00||
"01089"|"1"|1.00|"cup"|244.00||
"01089"|"2"|1.00|"fl oz"|30.50||
"01089"|"3"|1.00|"quart"|976.00||
"01090"|"1"|1.00|"cup"|128.00||
"01090"|"2"|0.25|"cup"|32.00||
"01091"|"1"|1.00|"cup"|120.00||
"01091"|"2"|0.25|"cup"|30.00||
"01092"|"1"|1.00|"cup"|68.00||
"01092"|"2"|1.00|"envelope (1-1/3 cup)"|91.00||
"01092"|"3"|0.33|"cup (makes 1 cup reconstituted milk)"|23.00||
"01093"|"1"|1.00|"oz"|28.35||
"01093"|"2"|0.25|"lb"|113.00||
"01094"|"1"|1.00|"cup"|120.00||
"01094"|"2"|1.00|"tbsp"|6.50||
"01095"|"1"|1.00|"cup"|306.00||
"01095"|"2"|1.00|"fl oz"|38.20||
"01096"|"1"|1.00|"cup"|252.00||
"01096"|"2"|1.00|"fl oz"|31.50||
"01096"|"3"|1.00|"can (13 oz)"|369.00||
"01096"|"4"|0.50|"cup"|126.00||
"01097"|"1"|1.00|"cup"|256.00||
"01097"|"2"|1.00|"fl oz"|31.90||
"01097"|"3"|0.50|"cup"|128.00||
"01102"|"1"|1.00|"cup"|250.00||
"01102"|"2"|1.00|"fl oz"|31.20||
"01102"|"3"|1.00|"quart"|1000.00||
"01103"|"1"|1.00|"cup"|250.00||
"01103"|"2"|1.00|"fl oz"|31.20||
"01103"|"3"|1.00|"quart"|1000.00||
"01104"|"1"|1.00|"cup"|250.00||
"01104"|"2"|1.00|"quart"|1000.00||
"01105"|"1"|1.00|"cup"|250.00||
"01105"|"2"|1.00|"fl oz"|31.20||
"01106"|"1"|1.00|"cup"|244.00||
"01106"|"2"|1.00|"fl oz"|30.50||
"01106"|"3"|1.00|"quart"|976.00||
"01107"|"1"|1.00|"cup"|246.00||
"01107"|"2"|1.00|"fl oz"|30.80||
"01108"|"1"|1.00|"cup"|244.00||
"01108"|"2"|1.00|"quart"|976.00||
"01109"|"1"|1.00|"cup"|245.00||
"01109"|"2"|1.00|"quart"|980.00||
"01110"|"1"|1.00|"fl oz"|28.40||
"01110"|"2"|1.00|"container (10.6 oz)"|300.00||
"01111"|"1"|1.00|"fl oz"|28.40||
"01111"|"2"|1.00|"container (11 oz)"|313.00||
"01112"|"1"|1.00|"cup"|246.00||
"01112"|"2"|1.00|"quart"|984.00||
"01113"|"1"|1.00|"cup"|57.00||
"01113"|"2"|1.00|"tbsp"|2.90||
"01114"|"1"|1.00|"cup"|246.00||
"01114"|"2"|1.00|"quart"|984.00||
"01115"|"1"|1.00|"cup"|145.00||
"01115"|"2"|1.00|"tbsp"|7.50||
"01116"|"1"|1.00|"cup (8 fl oz)"|245.00||
"01116"|"2"|1.00|"container (8 oz)"|227.00||
"01116"|"3"|0.50|"container (4 oz)"|113.00||
"01117"|"1"|1.00|"cup (8 fl oz)"|245.00||
"01117"|"2"|1.00|"container (8 oz)"|227.00||
"01117"|"3"|0.50|"container (4 oz)"|113.00||
"01118"|"1"|1.00|"cup (8 fl oz)"|245.00||
"01118"|"2"|1.00|"container (8 oz)"|227.00||
"01118"|"3"|0.50|"container (4 oz)"|113.00||
"01119"|"1"|1.00|"cup (8 fl oz)"|245.00||
"01119"|"2"|1.00|"container (8 oz)"|227.00||
"01119"|"3"|0.50|"container (4 oz)"|113.00||
"01120"|"1"|1.00|"cup (8 fl oz)"|245.00||
"01120"|"2"|1.00|"container (4.4 oz)"|125.00||
"01120"|"3"|1.00|"container (5 oz)"|142.00||
"01120"|"4"|1.00|"container (6 oz)"|170.00||
"01120"|"5"|1.00|"container (8 oz)"|227.00||
"01120"|"6"|0.50|"container (4 oz)"|113.00||
"01121"|"1"|1.00|"cup (8 fl oz)"|245.00||
"01121"|"2"|1.00|"container (6 oz)"|170.00||
"01121"|"3"|1.00|"container (8 oz)"|227.00||
"01121"|"5"|1.00|"container, Dannon Sprinkl'ins (4.1 oz)"|116.00||
"01121"|"6"|0.50|"container (4 oz)"|113.00||
"01122"|"1"|1.00|"container (8 oz)"|227.00||
"01122"|"2"|0.50|"container (4 oz)"|113.00||
"01123"|"1"|1.00|"cup (4.86 large eggs)"|243.00||
"01123"|"2"|1.00|"extra large"|56.00||
"01123"|"3"|1.00|"jumbo"|63.00||
"01123"|"5"|1.00|"large"|50.00||
"01123"|"6"|1.00|"medium"|44.00||
"01123"|"7"|1.00|"small"|38.00||
"01124"|"1"|1.00|"cup"|243.00||
"01124"|"2"|1.00|"large"|33.00||
"01125"|"1"|1.00|"cup"|243.00||
"01125"|"2"|1.00|"large"|17.00||
"01126"|"1"|0.50|"lb"|227.00||
"01127"|"1"|0.50|"lb"|227.00||
"01128"|"1"|1.00|"large"|46.00||
"01129"|"1"|1.00|"cup, chopped"|136.00||
"01129"|"2"|1.00|"tbsp"|8.50||
"01129"|"3"|1.00|"large"|50.00||
"01130"|"1"|1.00|"tbsp"|15.00||
"01130"|"2"|1.00|"large"|61.00||
"01131"|"1"|1.00|"large"|50.00||
"01132"|"1"|1.00|"cup"|220.00||
"01132"|"2"|1.00|"tbsp"|13.70||
"01132"|"3"|1.00|"large"|61.00||
"01133"|"1"|1.00|"cup, sifted"|85.00||
"01133"|"2"|1.00|"tbsp"|5.00||
"01134"|"1"|1.00|"cup, sifted"|85.00||
"01134"|"2"|1.00|"tbsp"|5.00||
"01135"|"1"|0.50|"lb"|227.00||
"01136"|"1"|1.00|"cup, sifted"|107.00||
"01136"|"2"|1.00|"tbsp"|7.00||
"01137"|"1"|1.00|"cup, sifted"|67.00||
"01137"|"2"|1.00|"tbsp"|4.00||
"01138"|"1"|1.00|"egg"|70.00||
"01139"|"1"|1.00|"egg"|144.00||
"01140"|"1"|1.00|"egg"|9.00||
"01141"|"1"|1.00|"egg"|79.00||
"01144"|"1"|0.35|"oz"|9.90||
"01144"|"2"|0.70|"oz"|20.00||
"01145"|"1"|1.00|"cup"|227.00||
"01145"|"2"|1.00|"tbsp"|14.20||
"01145"|"3"|1.00|"pat (1"" sq, 1/3"" high)"|5.00||
"01145"|"4"|1.00|"stick"|113.00||
"01146"|"1"|1.00|"tbsp"|5.00||
"01147"|"1"|1.00|"oz"|28.35||
"01147"|"2"|1.00|"cubic inch"|18.00||
"01148"|"1"|1.00|"oz"|28.35||
"01148"|"2"|1.00|"cubic inch"|18.00||
"01149"|"1"|1.00|"oz"|28.35||
"01149"|"2"|1.00|"package (8 oz)"|227.00||
"01150"|"1"|1.00|"oz"|28.35||
"01150"|"2"|1.00|"jar (5 oz)"|142.00||
"01151"|"1"|1.00|"cup"|245.00||
"01151"|"2"|1.00|"quart"|980.00||
"01152"|"1"|1.00|"cup"|245.00||
"01152"|"2"|1.00|"quart"|980.00||
"01153"|"1"|1.00|"fl oz"|31.50||
"01153"|"2"|0.50|"cup"|126.00||
"01154"|"1"|1.00|"cup"|120.00||
"01154"|"2"|0.25|"cup"|30.00||
"01155"|"1"|1.00|"cup"|68.00||
"01155"|"2"|1.00|"envelope (1-1/3 cup)"|91.00||
"01156"|"1"|1.00|"oz"|28.35||
"01157"|"1"|1.00|"oz"|28.35||
"01159"|"1"|1.00|"oz"|28.35||
"01160"|"1"|0.50|"lb"|227.00||
"01161"|"1"|1.00|"cup, shredded"|113.00||
"01161"|"2"|1.00|"oz"|28.35||
"01161"|"3"|1.00|"cubic inch"|18.00||
"01161"|"4"|1.00|"slice"|28.00||
"01161"|"5"|3.00|"oz"|85.00||
"01163"|"1"|1.00|"cup"|215.00||
"01163"|"2"|0.50|"cup"|108.00||
"01164"|"1"|1.00|"cup"|243.00||
"01164"|"2"|2.00|"tbsp"|30.00||
"01165"|"1"|1.00|"cup, crumbled"|132.00||
"01165"|"2"|1.00|"oz"|28.35||
"01166"|"1"|1.00|"cup, diced"|132.00||
"01166"|"2"|1.00|"cup, shredded"|113.00||
"01166"|"3"|1.00|"oz"|28.35||
"01166"|"4"|1.00|"cubic inch"|18.00||
"01166"|"5"|1.00|"slice (1 oz)"|28.00||
"01167"|"1"|1.00|"cup, diced"|132.00||
"01167"|"2"|1.00|"cup, shredded"|113.00||
"01167"|"3"|1.00|"oz"|28.35||
"01167"|"4"|1.00|"cubic inch"|17.00||
"01167"|"5"|1.00|"slice (1 oz)"|28.00||
